datetime,stress_score,hrv_score
2018-10-19 15:45:32,0.8229966523042016,0.45099396679319714
2018-10-19 18:27:49,0.28802520694652545,0.4343013286185229
2018-10-20 12:07:10,0.28802520694652545,0.4091671729189786
2018-10-24 15:11:40,0.358934436425224,0.06139576873478292
2018-10-24 15:58:02,0.7090075282206669,0.2524333773860281
2018-10-24 19:05:02,0.358934436425224,0.9999999999999999
2018-10-25 08:08:42,0.47562546702370495,0.7649442323538311
2018-10-25 11:37:43,0.5923164976221859,0.19022740459382084
2018-10-25 12:50:53,0.47562546702370495,0.21458595066773192
2018-10-25 16:28:16,0.7090075282206669,0.11284576626126391
2018-10-28 12:44:54,0.7090075282206669,0.2952843463936474
2018-10-28 14:17:26,0.47562546702370495,0.5431396428526485
2018-10-28 21:33:31,0.358934436425224,0.5658626002734876
2018-11-03 12:33:59,0.23882200947605908,0.33674784512622136
2018-11-03 13:26:12,0.41345233834004064,0.40545153954158264
2018-11-03 15:11:53,0.41345233834004064,0.4093487467117238
2018-11-03 18:07:39,0.41345233834004064,0.4188879439002008
2018-11-03 19:12:04,0.06419168061207753,0.2954364266953806
2018-11-04 15:02:29,0.41345233834004064,0.3202619936361045
2018-11-04 17:41:22,0.7627129960680037,0.28287299171963703
2018-11-04 19:14:42,0.06419168061207753,0.27342781809883676
2018-11-06 00:52:37,0.06419168061207753,0.530053502094939
2018-11-06 12:18:23,0.5880826672040222,0.41048359930879463
2018-11-06 13:10:27,0.5880826672040222,0.19203391871379305
2018-11-06 19:03:18,0.5880826672040222,0.11997592607778013
2018-11-07 00:31:09,0.06419168061207753,0.19445391065130063
2018-11-07 14:28:02,0.41345233834004064,0.49423742019384326
2018-11-10 12:02:35,0.8811939998117055,0.6235173721042382
2018-11-10 12:56:49,0.8811939998117055,0.4514788553777408
2018-11-10 20:39:34,0.4895522221176142,0.12328076537294733
2018-11-10 21:54:39,0.2937313332705685,0.17233620712166303
2018-11-10 23:00:01,0.2937313332705685,0.087358852837501
2018-11-11 11:15:42,0.3916417776940913,0.16829156316735214
2018-11-15 22:34:45,0.10052810622258046,0.0
2018-11-17 18:55:16,0.614512045523963,0.33862139547412473
2018-11-18 15:25:21,0.35752007587327167,0.6317062467729007
